V1,V2,V3,V4,Target
-0.203949523,0.363011153,1.013766286,0.187131083,1
-0.76111817,2.436423783,0.681845572,0.654365847,1
-0.209978891,1.131097513,-0.282179986,-0.202210153,1
0.836812034,0.650342187,-0.426900043,-0.305281241,1
0.454203989,1.560127985,-0.204840828,0.219232693,1
0.66267664,-1.197231439,-0.595304143,-0.774229239,1
-0.992152078,1.045661761,0.674981183,0.48177847,1
0.686468605,-1.120462588,2.540408242,2.475739734,-1
0.570145539,0.612154975,0.680705235,0.139626589,1
-0.135673878,0.90074214,0.715584158,0.012256072,1
1.14823372,0.284805536,-0.500105278,-0.556229815,1
0.963391876,-1.208190575,-2.568890536,2.344672849,-1
-0.662430508,1.048991637,0.287179805,-0.306453044,1
0.610342226,-0.130589072,0.326171729,-0.806283369,1
-0.35726728,1.051361072,-0.004476741,-1.139505597,1
0.732883199,-0.044900064,0.023969362,-0.113396864,1
-0.603595591,-0.306674085,-0.459858438,0.131608417,1
-1.699159026,0.246999427,-0.135035614,0.243557913,1
-0.917922202,-1.485545676,-1.022936577,-1.137964026,1
0.915320959,-0.078493875,0.724550639,-0.587778158,1
0.336592379,0.929671472,-0.111010852,-0.079458977,1
1.080416992,-0.299386409,0.501083232,0.056384718,1
-0.11081593,1.135650833,0.385019841,-0.237358248,1
-0.006078606,-0.220487995,-0.43913862,-0.340420379,1
0.8268393,-1.078084687,2.685594391,2.343733106,-1
-0.419871101,-0.32544997,0.014442997,-0.350122872,1
1.172244783,-0.506241496,0.537169323,-0.326435899,1
-0.172390034,-2.388763122,-0.529637444,-0.924046872,1
0.785643787,1.332809758,-0.199944641,0.103342942,1
0.221076852,-1.458053436,-0.923113019,-0.584923391,1
0.735257581,0.951050873,0.502424992,-0.444738646,1
-0.738045211,-0.813693956,0.376159183,-0.415031269,1
-1.601179684,-0.388456864,0.424255501,-0.162528034,1
0.983279668,-0.607681896,-0.510935054,-0.517296719,1
-1.426394033,-1.144496878,0.577478921,-0.296654228,1
-0.466061749,-0.273731699,0.362248079,-0.646314618,1
0.136590949,-1.004576287,1.20232688,-1.37202572,1
-0.455208216,0.722640228,-0.101312492,-0.410369911,1
0.123957035,-0.933653604,0.288725569,-0.343324096,1
0.62910143,-1.162691144,-2.581676397,2.445234711,-1
-0.076946142,0.74336451,0.120879921,-0.280405497,1
0.100451086,-0.113977778,0.282462375,-1.335235525,1
-1.033226063,0.844347042,-0.525189759,0.206471968,1
-2.579654627,0.854882579,-0.583152243,0.975816827,1
0.809804258,0.614479528,-0.615190009,-0.895818264,1
0.021587104,-0.537191636,-0.090391578,-0.934071298,1
0.394325744,1.261794521,-0.053020767,0.369087711,1
0.92938436,-1.076824463,-2.633021406,2.443312935,-1
0.896659716,-1.040653536,-2.56875326,2.448292311,-1
-0.265542396,-0.585997416,0.460343611,-0.118864304,1
-0.293795537,-0.037714506,0.344036989,-0.444554498,1
0.522135657,0.8490135,-0.086817875,-0.31107579,1
-0.334215603,-1.616378325,-0.004300351,-1.421378544,1
1.715448932,-0.37708592,-0.662504386,-0.449156701,1
0.544659756,-1.107443523,2.600159821,2.54012712,-1
-0.616503107,0.540250561,-0.191669392,0.495956954,1
0.525284733,3.194294749,-0.702438193,0.708002242,1
0.036187275,1.159547852,0.32258495,-0.28546503,1
0.301186111,2.048072114,-0.920127856,1.121334703,1
-0.501092732,-0.676914761,-0.359563442,-0.543424831,1
0.149061691,1.651993808,-0.299670879,0.084022157,1
0.326581111,-0.492607653,-0.421389726,-0.173111319,1
1.915359889,0.380859945,0.071927062,-0.451204191,1
0.23412895,-1.504767683,1.59276945,-0.834313372,1
-0.267570926,0.07948533,0.348476794,-0.392073909,1
0.474475847,1.070793382,-0.583024713,0.099436682,1
-0.353411789,-1.717815895,0.34994212,-0.087506069,1
-0.14270731,-0.599165316,-0.029323563,-0.393137782,1
1.236365011,1.289821996,0.68602067,0.269403827,1
-0.974605994,0.151282144,0.218137654,-0.123196339,1
-0.325788304,0.236154239,0.038287122,-0.753961825,1
-0.952620179,1.304888077,0.480448727,0.175354552,1
-0.205422983,-1.041968314,-0.143092987,-0.46014472,1
-1.93597843,1.487666492,0.225280251,0.435274384,1
0.690242442,-1.200122585,-2.524752973,2.382426608,-1
1.066202676,1.303772041,-0.037937358,-0.798775663,1
0.894555584,-1.0767758,-2.606516687,2.409943794,-1
-0.274288368,0.149287163,-0.419746931,0.807055327,1
0.708814538,1.627741034,-0.186838726,0.521647519,1
-0.951677898,0.248435908,-0.745780097,-0.002280594,1
0.038734613,0.117420633,-0.113520102,-0.159476228,1
-0.435835767,-0.496924962,0.663020412,-0.081941963,1
0.639360791,1.170081915,-0.030686378,1.01996835,1
-0.166327806,0.432889471,-0.747473196,0.368344486,1
1.958431584,0.946940874,1.097892748,-0.609283712,1
0.745778469,-1.226283518,2.490722576,2.314176659,-1
-0.686339711,-0.412765505,0.721273861,-0.871619862,1
0.721272814,-0.211455028,-0.755526524,-0.456845717,1
-2.038613626,-2.058314452,0.059065119,-0.027496981,1
1.331396569,0.683893963,-0.37959953,-0.199181166,1
1.667482673,0.668759616,-0.822040206,0.045938935,1
0.789968143,-2.147668418,-0.11717048,-1.750168029,1
-1.143690507,-1.262282154,0.827700412,-0.237859593,1
-1.920045906,0.25578112,0.01317009,-0.40675159,1
1.835967831,-0.557853552,-0.837444468,-0.692005441,1
-1.56188017,-1.233628375,-0.321464026,-0.771362489,1
2.687937611,1.224806622,-0.508550123,-0.276953334,1
-1.920606726,-0.877885226,0.257840247,0.313368038,1
0.868600949,1.363262871,-1.25945682,1.032737417,1
-0.718945304,0.79921063,-0.255448272,-0.15989527,1
0.819456088,0.770667155,0.915403219,-0.365245671,1
0.808054735,-0.608675965,0.010529162,-0.813956655,1
-1.428907785,0.103455142,0.256401537,-0.650074223,1
0.891440645,0.258609163,-0.061977822,-1.031372434,1
-1.808948896,-0.197141803,-0.412904465,0.043307389,1
-0.794683657,0.388095998,-1.132416635,0.093227662,1
0.454287311,0.432588164,0.022753336,-0.389603993,1
-0.438797461,-0.455157889,-0.422367285,-1.215967752,1
-1.124384287,-1.219990124,0.811158365,-0.177080698,1
0.3681461,-0.17271348,0.195530272,-0.858673543,1
0.889827582,1.635425482,1.149589059,-0.046926181,1
0.105842141,-0.621731101,-0.620270827,-0.844564104,1
0.453190736,0.530128679,-0.553768748,-0.288912173,1
0.523574321,1.89651955,0.445437449,0.059682372,1
-0.162950965,-0.217453803,0.208365452,-0.299061745,1
-0.273764219,0.545369683,-0.251882009,-0.945405377,1
0.199611609,0.733719547,0.191552767,-0.507728978,1
0.547419457,-1.737937957,0.224870708,-1.781276437,1
0.745891669,0.72966592,-0.830349274,-0.787183777,1
-0.945959639,1.429700564,-0.479324242,1.100828437,1
-0.080401684,-1.613156612,-1.252178308,-0.756003505,1
0.402205636,1.155327315,-0.153819955,-0.235425079,1
0.458844458,0.841639378,0.00074702,-0.013713489,1
-0.667061094,0.153828857,-0.267221005,0.190544313,1
1.304574132,0.48433296,-0.254793788,-0.326764985,1
0.348904972,0.309050065,0.440326301,-0.316385462,1
-0.952096075,1.155114936,0.109808656,1.048795354,1
-1.125383171,0.990846851,-0.089582214,-0.049088525,1
0.707753322,-1.076419603,-2.637267394,2.438837624,-1
-0.516983832,-1.416462569,0.203608835,-0.881920807,1
1.090073013,-0.508706863,-1.157804095,-0.553839114,1
-1.928350467,0.665209566,1.132823225,0.258199725,1
0.255805226,0.920709871,0.350574123,-0.540927838,1
-0.885415307,-0.769117762,-0.060016234,-0.248444661,1
-0.444639331,-0.71948793,0.475117569,-0.018713732,1
0.575838999,-0.082617114,-0.444875852,-1.015706177,1
1.331030072,-0.018968994,0.724203671,-0.510878433,1
0.785757032,-1.172187903,2.615063196,2.42483779,-1
0.242698523,-0.437619326,-0.609038608,-1.551047404,1
1.123223919,2.294352922,0.696865782,-0.231219443,1
-0.12324494,2.426931771,0.089648866,-0.142584077,1
-0.711794797,1.209035092,-0.280528841,0.112854445,1
-1.341117287,0.824772334,0.468298903,0.540989758,1
-1.016949477,-1.171589138,0.381445718,-0.176348378,1
0.958671692,-1.200040039,-2.486188994,2.328844243,-1
-1.044792029,0.137862632,0.437043943,0.318717293,1
-0.765724231,0.935410973,-2.27615539,0.230997905,1
0.677335824,0.176107515,-0.526100775,-0.680672326,1
1.409721598,1.608999063,2.017410141,0.082746632,1
0.210804304,-1.591049868,0.157905987,-0.842976604,1
